2019-01-05|pause work work work pause work work pause work pause work pause stream stream stream stream
2019-01-06|work work pause stream stream stream stream pause work pause stream stream stream stream
2019-01-07|pause work work work pause work work pause work work pause stream stream stream stream
2019-01-08|pause work work work pause work work pause work pause work pause stream stream stream
2019-01-09|work work pause stream stream stream stream pause work pause stream stream stream stream
2019-01-10|pause work work work pause work work pause work work pause stream stream stream stream
2019-01-11|pause work work pause work work pause work pause work pause stream stream stream stream
2019-01-12|work work pause work stream stream stream stream pause work pause stream stream stream stream
2019-01-13|pause work work work pause work work pause work work pause stream stream stream stream
2019-01-14|pause work work pause work pause work pause work pause stream stream stream work
2019-01-15|work work pause work stream stream stream stream pause work pause stream stream stream
2019-01-16|pause work work work pause work work pause work work pause stream stream stream stream
